Region,Team,Seed,Conf,W-L,KenPom-NetRtg,KenPom-ORtg,KenPom-DRtg,KenPom-AdjT,KenPom-Luck,Sched-NetRtg,Sched-ORtg,Sched-DRtg,NCSOS-NetRtg
East,Duke,1,ACC,31-3,+38.25,128.0,89.8,65.8,-.019,+10.11,112.5,102.4,+9.34
East,Mount St. Marys,16,MAAC,23-12,-6.03,101.1,107.1,67.5,+.147,-7.16,102.0,109.1,-1.16
East,Mississippi St.,8,SEC,21-12,+20.11,118.8,98.7,68.2,+.012,+14.81,115.1,100.2,+0.65
East,Baylor,9,B12,19-14,+21.16,120.9,99.7,64.6,-.054,+15.71,113.8,98.1,+7.68
East,Oregon,5,B10,24-9,+20.11,116.6,96.5,67.7,+.085,+14.13,114.4,100.3,+4.07
East,Liberty,12,CUSA,28-6,+13.78,112.6,98.8,65.4,+.000,+0.66,106.1,105.4,-2.86
East,Arizona,4,B12,22-12,+25.72,122.6,96.9,69.9,-.049,+16.40,115.3,98.9,+5.05
East,Akron,13,MAC,28-6,+6.93,113.9,107.0,71.4,+.071,-4.01,104.9,108.9,+1.71
East,BYU,6,B12,24-9,+22.36,123.0,100.7,67.3,+.036,+11.10,111.8,100.7,-7.93
East,VCU,11,A10,28-6,+20.30,116.2,95.9,66.1,-.051,+1.03,106.8,105.8,-4.08
East,Wisconsin,3,B10,26-9,+25.99,122.1,96.1,67.6,-.033,+13.90,114.3,100.4,-0.11
East,Montana,14,BSky,25-9,+0.24,110.7,110.5,67.1,+.186,-2.36,106.4,108.8,+8.56
East,St. Mary's,7,WCC,28-5,+23.14,115.3,92.2,61.7,+.005,+5.42,111.1,105.6,+5.14
East,Vanderbilt,10,SEC,20-12,+16.13,117.9,101.8,69.5,+.025,+12.89,113.7,100.8,-6.84
East,Alabama,2,SEC,25-8,+30.00,126.5,96.5,74.9,+.029,+19.59,118.3,98.7,+12.08
East,Robert Morris,15,Horz,26-8,+2.17,107.1,104.9,67.8,+.088,-6.15,104.6,110.7,-8.54
Midwest,Houston,1,B12,30-4,+35.41,123.2,87.8,61.5,+.015,+13.66,113.6,99.9,+2.57
Midwest,SIUE,16,OVC,22-11,-4.25,102.0,106.2,65.9,+.052,-9.01,101.4,110.4,-3.37
Midwest,Gonzaga,8,WCC,25-8,+27.29,123.6,96.3,70.2,-.074,+7.04,110.8,103.8,+8.74
Midwest,Georgia,9,SEC,20-12,+19.35,115.4,96.1,66.5,-.001,+13.60,113.9,100.3,-5.41
Midwest,Clemson,5,ACC,27-6,+23.92,118.7,94.8,64.3,-.032,+8.31,111.5,103.2,+3.69
Midwest,McNeese,12,Slnd,27-6,+13.80,114.3,100.5,65.4,-.023,-2.36,104.8,107.1,+8.96
Midwest,Purdue,4,B10,22-11,+23.87,124.3,100.4,65.0,-.007,+15.75,115.4,99.7,+10.40
Midwest,High Point,13,BSth,29-5,+9.35,118.5,109.2,66.5,+.011,-5.45,104.4,109.9,-5.82
Midwest,Illinois,6,B10,21-12,+23.58,121.7,98.1,71.4,-.018,+15.96,115.0,99.1,+3.40
Midwest,Xavier,11,BE,22-11,+17.54,116.2,98.7,69.1,-.011,+9.74,111.3,101.6,-1.15
Midwest,Kentucky,3,SEC,22-11,+24.26,123.8,99.6,71.0,+.007,+17.85,116.9,99.0,+3.75
Midwest,Troy,14,SB,23-10,+7.19,107.8,100.6,66.3,-.009,-2.59,105.5,108.1,+1.35
Midwest,UCLA,7,B10,22-10,+21.78,116.9,95.1,64.9,-.008,+12.59,113.7,101.1,-5.20
Midwest,Utah St.,10,MWC,26-7,+14.85,120.6,105.7,67.6,+.086,+5.33,108.6,103.2,+0.74
Midwest,Tennessee,2,SEC,27-7,+31.13,120.3,89.1,63.7,+.016,+15.95,116.7,100.7,-0.88
Midwest,Wofford,15,SC,19-15,+4.05,113.6,109.5,64.1,-.032,-0.82,106.7,107.6,+5.16
South,Auburn,1,SEC,28-5,+35.11,128.5,93.4,67.6,+.030,+19.05,117.1,98.1,+10.38
South,Alabama State,16,SWAC,20-15,-9.25,101.4,110.7,67.8,+.061,-8.82,100.7,109.5,+6.21
South,Louisville,8,ACC,27-7,+22.69,118.2,95.5,68.8,+.058,+10.41,112.7,102.3,+7.10
South,Creighton,9,BE,24-10,+18.71,116.9,98.2,67.1,+.049,+11.50,112.2,100.7,+5.40
South,Michigan,5,B10,25-9,+22.32,116.0,93.7,69.5,+.070,+14.90,114.5,99.6,+3.86
South,UC San Diego,12,BW,30-4,+18.41,115.0,96.6,65.7,+.010,-1.96,105.7,107.7,-2.02
South,Texas A&M,4,SEC,22-10,+24.05,116.2,92.1,66.2,+.001,+16.12,115.5,99.4,+7.09
South,Yale,13,Ivy,22-7,+11.04,115.1,104.1,67.2,-.041,-2.54,106.5,109.0,-0.77
South,Ole Miss,6,SEC,22-11,+22.09,117.9,95.8,68.1,+.018,+15.80,115.2,99.3,-0.58
South,North Carolina,11,ACC,23-13,+20.62,119.8,99.2,70.5,-.021,+12.30,113.3,101.0,+13.32
South,Iowa State,3,B12,24-9,+27.00,119.5,92.5,68.6,-.048,+12.65,113.4,100.8,-0.86
South,Lipscomb,14,ASun,25-9,+9.45,112.7,103.3,65.9,-.028,-4.59,105.6,110.2,+3.96
South,Marquette,7,BE,23-10,+21.64,117.7,96.0,67.6,-.013,+12.59,113.2,100.6,+8.79
South,New Mexico,10,MWC,26-7,+16.98,112.4,95.4,72.7,-.000,+5.98,109.0,103.0,+5.13
South,Michigan State,2,B10,27-6,+27.62,118.2,90.6,67.8,-.009,+13.40,114.3,100.9,+0.41
South,Bryant,15,AE,23-11,+1.18,106.8,105.6,72.5,-.004,-7.04,103.0,110.0,+0.39
West,Florida,1,SEC,30-4,+36.19,128.6,92.5,69.6,+.007,+14.47,114.6,100.1,-1.98
West,Norfolk State,16,MEAC,24-10,-1.50,107.2,108.7,66.4,+.056,-7.18,103.1,110.3,+3.09
West,UConn,8,BE,23-10,+19.38,121.9,102.6,63.8,-.019,+10.15,112.2,102.0,-0.13
West,Oklahoma,9,SEC,20-13,+18.32,119.0,100.7,68.6,+.005,+14.61,114.6,100.0,-5.43
West,Memphis,5,Amer,29-5,+15.47,113.3,97.8,70.8,+.090,+6.17,111.2,105.0,+15.69
West,Colorado State,12,MWC,25-9,+16.93,116.1,99.1,66.0,+.025,+5.53,109.3,103.7,+1.42
West,Maryland,4,B10,25-8,+26.37,118.2,91.8,69.9,-.038,+10.97,113.1,102.1,-10.37
West,Grand Canyon,13,WAC,26-7,+7.18,107.8,100.7,71.5,+.019,-3.50,103.1,106.6,-3.28
West,Missouri,6,SEC,22-11,+24.44,125.3,100.9,68.2,-.048,+13.08,113.8,100.7,-9.26
West,Drake,11,MVC,30-3,+14.22,112.7,98.5,58.8,+.004,-0.39,107.2,107.6,-2.64
West,Texas Tech,3,B12,25-8,+28.03,125.3,97.3,65.5,-.045,+11.24,111.9,100.6,-4.71
West,UNC Wilmington,14,CAA,27-7,+5.18,112.3,107.2,65.4,+.055,-4.56,104.9,109.5,-4.96
West,Kansas,7,B12,21-12,+23.29,116.0,92.7,68.4,-.024,+15.55,114.9,99.4,+8.76
West,Arkansas,10,SEC,20-13,+17.71,112.9,95.2,69.4,-.008,+13.86,114.8,100.9,-2.52
West,St. John's,2,BE,30-4,+26.41,113.9,87.5,70.2,-.019,+9.15,111.9,102.7,-0.05
West,Omaha,15,Sum,22-12,+0.46,111.1,110.6,67.8,+.071,-2.55,106.7,109.3,+0.38